year,district,species_name_raw,species_key,landing_qty_tonnes
2022-23,TCR,Saurida & Saurus,,3.0
2022-23,MLPM,Saurida & Saurus,,237.0
2022-23,KKD,Saurida & Saurus,,1504.0
2022-23,KNR,Saurida & Saurus,,29.0
2022-23,KSD,Saurida & Saurus,,0.0
2022-23,TVPM,Hemirhamphus& Belone,,184.0
2022-23,KLM,Hemirhamphus& Belone,,88.0
2022-23,ALP,Hemirhamphus& Belone,,4.0
2022-23,EKM,Hemirhamphus& Belone,,239.0
2022-23,TCR,Hemirhamphus& Belone,,21.0
2022-23,MLPM,Hemirhamphus& Belone,,32.0
2022-23,KKD,Hemirhamphus& Belone,,196.0
2022-23,KNR,Hemirhamphus& Belone,,21.0
2022-23,KSD,Hemirhamphus& Belone,,4.0
2022-23,TVPM,Flying Fish,flying_fish,10.0
2022-23,KLM,Flying Fish,flying_fish,0.0
2022-23,ALP,Flying Fish,flying_fish,0.0
2022-23,EKM,Flying Fish,flying_fish,2.0
2022-23,TCR,Flying Fish,flying_fish,0.0
2022-23,MLPM,Flying Fish,flying_fish,0.0
2022-23,KKD,Flying Fish,flying_fish,9.0
2022-23,KNR,Flying Fish,flying_fish,0.0
2022-23,KSD,Flying Fish,flying_fish,0.0
2022-23,TVPM,Perches,perches,2301.0
2022-23,KLM,Perches,perches,11148.0
2022-23,ALP,Perches,perches,209.0
2022-23,EKM,Perches,perches,35463.0
2022-23,TCR,Perches,perches,224.0
2022-23,MLPM,Perches,perches,1988.0
2022-23,KKD,Perches,perches,17936.0
2022-23,KNR,Perches,perches,376.0
2022-23,KSD,Perches,perches,86.0
2022-23,TVPM,Red Mullets,,42.0
2022-23,KLM,Red Mullets,,34.0
2022-23,ALP,Red Mullets,,7.0
2022-23,EKM,Red Mullets,,508.0
2022-23,TCR,Red Mullets,,0.0
2022-23,MLPM,Red Mullets,,0.0
2022-23,KKD,Red Mullets,,15.0
2022-23,KNR,Red Mullets,,0.0
2022-23,KSD,Red Mullets,,0.0
2022-23,TVPM,Polynemids,,0.0
2022-23,KLM,Polynemids,,0.0
2022-23,ALP,Polynemids,,0.0
2022-23,EKM,Polynemids,,0.0
2022-23,TCR,Polynemids,,0.0
2022-23,MLPM,Polynemids,,0.0
2022-23,KKD,Polynemids,,2.0
2022-23,KNR,Polynemids,,0.0
2022-23,KSD,Polynemids,,0.0
2022-23,TVPM,Sciaenids,,441.0
2022-23,KLM,Sciaenids,,267.0
2022-23,ALP,Sciaenids,,244.0
2022-23,EKM,Sciaenids,,1027.0
2022-23,TCR,Sciaenids,,161.0
2022-23,MLPM,Sciaenids,,801.0
2022-23,KKD,Sciaenids,,989.0
2022-23,KNR,Sciaenids,,199.0
2022-23,KSD,Sciaenids,,78.0
2022-23,TVPM,Ribbon Fish,ribbon_fish,2862.0
2022-23,KLM,Ribbon Fish,ribbon_fish,3630.0
2022-23,ALP,Ribbon Fish,ribbon_fish,7.0
2022-23,EKM,Ribbon Fish,ribbon_fish,12964.0
2022-23,TCR,Ribbon Fish,ribbon_fish,31.0
2022-23,MLPM,Ribbon Fish,ribbon_fish,338.0
2022-23,KKD,Ribbon Fish,ribbon_fish,7217.0
2022-23,KNR,Ribbon Fish,ribbon_fish,557.0
2022-23,KSD,Ribbon Fish,ribbon_fish,7.0
2022-23,TVPM,Caranx,,289.0
2022-23,KLM,Caranx,,179.0
2022-23,ALP,Caranx,,30.0
2022-23,EKM,Caranx,,695.0
2022-23,TCR,Caranx,,24.0
2022-23,MLPM,Caranx,,0.0
2022-23,KKD,Caranx,,50.0
2022-23,KNR,Caranx,,7.0
2022-23,KSD,Caranx,,13.0
2022-23,TVPM,Chorinemus,,137.0
2022-23,KLM,Chorinemus,,32.0
2022-23,ALP,Chorinemus,,5.0
2022-23,EKM,Chorinemus,,204.0
2022-23,TCR,Chorinemus,,6.0
2022-23,MLPM,Chorinemus,,24.0
2022-23,KKD,Chorinemus,,251.0
2022-23,KNR,Chorinemus,,7.0
